央视卫视频道,#genre#
CCTV12,http://www.998969.xyz:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV13,http://www.998969.xyz:35455/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV14,http://www.998969.xyz:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://www.998969.xyz:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://www.998969.xyz:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://www.998969.xyz:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV16,http://www.998969.xyz:35455/itv/5000000008000023254.m3u8?cdn=bestzb
北京卫视,http://www.998969.xyz:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
湖南卫视,http://www.998969.xyz:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
江苏卫视,http://www.998969.xyz:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
东方卫视,http://www.998969.xyz:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视,http://www.998969.xyz:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
安徽卫视,http://www.998969.xyz:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
天津卫视,http://www.998969.xyz:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
四川卫视,http://www.998969.xyz:35455/itv/5000000004000006119.m3u8?cdn=bestzb
重庆卫视,http://www.998969.xyz:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
山东卫视,http://www.998969.xyz:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
深圳卫视,http://www.998969.xyz:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
广东卫视,http://www.998969.xyz:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
广西卫视,http://www.998969.xyz:35455/itv/5000000011000031118.m3u8?cdn=bestzb
江西卫视,http://www.998969.xyz:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
河北卫视,http://www.998969.xyz:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://www.998969.xyz:35455/itv/1000000002000027731.m3u8?cdn=ystenlive
湖北卫视,http://www.998969.xyz:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
东南卫视,http://www.998969.xyz:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
贵州卫视,http://www.998969.xyz:35455/itv/5000000004000025843.m3u8?cdn=bestzb
辽宁卫视,http://www.998969.xyz:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
黑龙江卫视,http://www.998969.xyz:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
山西卫视,http://www.998969.xyz:35455/itv/1000000002000021220.m3u8?cdn=ystenlive
宁夏卫视,http://www.998969.xyz:35455/itv/1000000002000031451.m3u8?cdn=ystenlive
陕西卫视,http://www.998969.xyz:35455/itv/1000000002000007495.m3u8?cdn=ystenlive
吉林卫视,http://www.998969.xyz:35455/itv/5000000011000031117.m3u8?cdn=bestzb
甘肃卫视,http://www.998969.xyz:35455/itv/5000000011000031121.m3u8?cdn=bestzb
云南卫视,http://www.998969.xyz:35455/itv/5000000011000031120.m3u8?cdn=bestzb
海南卫视,http://www.998969.xyz:35455/itv/5000000004000006211.m3u8?cdn=bestzb
三沙卫视,http://www.998969.xyz:35455/itv/5000000011000288016.m3u8?cdn=bestzb
青海卫视,http://www.998969.xyz:35455/itv/5000000006000040015.m3u8?cdn=bestzb
新疆卫视,http://www.998969.xyz:35455/itv/1000000002000029441.m3u8?cdn=ystenlive
西藏卫视,http://www.998969.xyz:35455/itv/6603041244077933770.m3u8?cdn=ystenlive
农林卫视,http://www.998969.xyz:35455/itv/1000000005000266003.m3u8?cdn=ystenlive
兵团卫视,http://www.998969.xyz:35455/itv/1000000005000266005.m3u8?cdn=ystenlive
延边卫视,http://www.998969.xyz:35455/itv/1000000005000266008.m3u8?cdn=ystenlive
安多卫视,http://www.998969.xyz:35455/itv/1000000005000266001.m3u8?cdn=ystenlive
厦门卫视,http://www.998969.xyz:35455/itv/1000000005000266006.m3u8?cdn=ystenlive
康巴卫视,http://www.998969.xyz:35455/itv/1000000005000266002.m3u8?cdn=ystenlive
大湾区卫视,http://www.998969.xyz:35455/itv/1000000002000011619.m3u8?cdn=ystenlive
广东珠江,http://www.998969.xyz:35455/itv/2000000003000000033.m3u8?cdn=hnbblive
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
山东教育,http://www.998969.xyz:35455/itv/1000000002000004097.m3u8?cdn=ystenlive
